일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2024-12-30,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,62485,849,298831,58,9,515510
2024-12-30,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,43994,660,193223,68,11,739496
2024-12-30,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,63819,1314,257346,81,25,1113057
2024-12-30,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,40100,911,194640,57,19,1437444
2024-12-30,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,75474,1311,268585,99,21,920629
2024-12-30,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,10567,226,44797,13,4,246511
2024-12-30,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,12166,336,61086,22,9,658498
2024-12-30,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,11186,410,46998,18,12,1112095
2024-12-30,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,29247,912,117247,43,26,1668243
2024-12-30,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,26200,665,129067,50,16,899768
2024-12-30,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,23663,628,119107,23,12,1063370
2024-12-30,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,7751,1075,65806,285,129,9551509
2024-12-30,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,15511,1337,182883,247,69,4185113
2024-12-30,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,16026,1452,154422,125,59,4404421
2024-12-30,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,7135,650,82795,60,39,3429182
2024-12-30,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,8440,405,73746,31,21,2408882
2024-12-30,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,6470,356,46963,27,14,1786060
2024-12-30,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,14279,916,125494,66,62,3628433
2024-12-30,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,11837,657,98265,58,44,4339004
2024-12-30,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,12746,858,81791,80,41,4035133
